,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
88738,2324,168,Leiden,
88805,2324,168,Amersfoort,
88990,2331,226,Leiden,
89243,2332,190,Leiden,
89483,2334,372,Leiden,
89569,2341,389,Oegstgeest,
89846,2342,352,Oegstgeest,
89899,2343,295,Oegstgeest,
90242,2351,309,Leiderdorp,
90394,2352,205,Leiderdorp,
90612,2353,247,Leiderdorp,
90909,2355,280,Kaag en Braassem,
90962,2361,376,Teylingen,
91173,2362,471,Teylingen,
91183,2371,260,Kaag en Braassem,
91410,2374,311,Kaag en Braassem,
91444,2375,266,Kaag en Braassem,
91498,2376,299,Kaag en Braassem,
91525,2377,229,Kaag en Braassem,
91633,2381,279,Zoeterwoude,
91820,2382,260,Zoeterwoude,
91937,2391,275,Alphen aan den Rijn,
92137,2394,228,Alphen aan den Rijn,
92308,2396,259,Alphen aan den Rijn,
92449,2401,209,Alphen aan den Rijn,
92647,2402,170,Alphen aan den Rijn,
92960,2403,184,Alphen aan den Rijn,
93187,2404,173,Alphen aan den Rijn,
93227,2404,173,Gorinchem,
93347,2405,220,Alphen aan den Rijn,
93538,2406,213,Alphen aan den Rijn,
93773,2407,358,Alphen aan den Rijn,
93793,2408,261,Alphen aan den Rijn,
94090,2409,500,Alphen aan den Rijn,
94094,2411,236,Bodegraven-Reeuwijk,
94497,2412,244,Bodegraven-Reeuwijk,
94504,2415,290,Bodegraven-Reeuwijk,
94544,2421,264,Nieuwkoop,
94771,2431,308,Nieuwkoop,
94812,2432,353,Nieuwkoop,
94817,2435,264,Nieuwkoop,
94893,2441,254,Nieuwkoop,
94994,2445,337,Alphen aan den Rijn,
95030,2451,261,Kaag en Braassem,
95156,2461,266,Nieuwkoop,
95390,2465,297,Kaag en Braassem,
95427,2471,253,Alphen aan den Rijn,
95474,2481,278,Kaag en Braassem,
95574,2491,480,'s-Gravenhage,
95640,2492,277,'s-Gravenhage,
95838,2493,306,'s-Gravenhage,
95949,2495,462,'s-Gravenhage,
95972,2496,287,'s-Gravenhage,
96166,2497,245,'s-Gravenhage,
96336,2498,345,'s-Gravenhage,
96428,2511,206,'s-Gravenhage,
96576,2512,139,'s-Gravenhage,
96865,2513,197,'s-Gravenhage,
97070,2514,363,'s-Gravenhage,
97224,2515,124,'s-Gravenhage,
97486,2516,103,'s-Gravenhage,
97712,2517,311,'s-Gravenhage,
97975,2518,228,'s-Gravenhage,
98248,2521,117,'s-Gravenhage,
98412,2522,106,'s-Gravenhage,
98756,2523,112,'s-Gravenhage,
98896,2524,131,'s-Gravenhage,
99082,2525,122,'s-Gravenhage,
99378,2526,113,'s-Gravenhage,
99650,2531,105,'s-Gravenhage,
99870,2532,97,'s-Gravenhage,
100008,2533,96,'s-Gravenhage,
100225,2541,92,'s-Gravenhage,
100425,2542,122,'s-Gravenhage,
100631,2543,114,'s-Gravenhage,
100782,2544,126,'s-Gravenhage,
101060,2545,138,'s-Gravenhage,
101315,2546,135,'s-Gravenhage,
101468,2547,125,'s-Gravenhage,
101672,2548,266,'s-Gravenhage,
101925,2551,154,'s-Gravenhage,
102237,2552,182,'s-Gravenhage,
102615,2553,231,'s-Gravenhage,
