,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
182,Drenthe,Borger-Odoorn,2017,M,Specialistische zakelijke diensten,330.0,0.009093414163681455,Hoog
183,Drenthe,Borger-Odoorn,2017,N,Verhuur en overige zakelijke diensten,100.0,0.002755580049600441,Middel-Hoog
184,Drenthe,Borger-Odoorn,2017,R,"Cultuur, sport en recreatie",95.0,0.002617801047120419,Middel-Hoog
185,Drenthe,Borger-Odoorn,2017,S,Overige dienstverlening,185.0,0.0050978230917608156,Middel-Hoog
186,Drenthe,Borger-Odoorn,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
187,Drenthe,Borger-Odoorn,2018,A,"Landbouw, bosbouw en visserij",325.0,0.008955635161201432,Hoog
188,Drenthe,Borger-Odoorn,2018,B,Delfstoffenwinning,10.0,0.0002755580049600441,Middel
189,Drenthe,Borger-Odoorn,2018,C,Industrie,115.0,0.003168917057040507,Middel-Hoog
190,Drenthe,Borger-Odoorn,2018,D,Energievoorziening,0.0,0.0,Geen
191,Drenthe,Borger-Odoorn,2018,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
192,Drenthe,Borger-Odoorn,2018,F,Bouwnijverheid,255.0,0.007026729126481124,Hoog
193,Drenthe,Borger-Odoorn,2018,G,Handel,385.0,0.010608983190961698,Hoog
194,Drenthe,Borger-Odoorn,2018,H,Vervoer en opslag,70.0,0.0019289060347203086,Middel-Hoog
195,Drenthe,Borger-Odoorn,2018,I,Horeca,120.0,0.003306696059520529,Middel-Hoog
196,Drenthe,Borger-Odoorn,2018,J,Informatie en communicatie,65.0,0.0017911270322402866,Geen
197,Drenthe,Borger-Odoorn,2018,K,Financiële dienstverlening,135.0,0.0037200330669605952,Middel-Hoog
198,Drenthe,Borger-Odoorn,2018,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
199,Drenthe,Borger-Odoorn,2018,M,Specialistische zakelijke diensten,340.0,0.0093689721686415,Hoog
200,Drenthe,Borger-Odoorn,2018,N,Verhuur en overige zakelijke diensten,100.0,0.002755580049600441,Middel-Hoog
201,Drenthe,Borger-Odoorn,2018,R,"Cultuur, sport en recreatie",105.0,0.002893359052080463,Middel-Hoog
202,Drenthe,Borger-Odoorn,2018,S,Overige dienstverlening,190.0,0.005235602094240838,Geen
203,Drenthe,Borger-Odoorn,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
204,Drenthe,Coevorden,2015,A,"Landbouw, bosbouw en visserij",425.0,0.011711215210801875,Hoog
205,Drenthe,Coevorden,2015,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
206,Drenthe,Coevorden,2015,C,Industrie,150.0,0.004133370074400662,Middel-Hoog
207,Drenthe,Coevorden,2015,D,Energievoorziening,5.0,0.00013777900248002206,Middel
208,Drenthe,Coevorden,2015,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
209,Drenthe,Coevorden,2015,F,Bouwnijverheid,255.0,0.007026729126481124,Hoog
210,Drenthe,Coevorden,2015,G,Handel,585.0,0.016120143290162578,Hoog
211,Drenthe,Coevorden,2015,H,Vervoer en opslag,70.0,0.0019289060347203086,Middel-Hoog
212,Drenthe,Coevorden,2015,I,Horeca,150.0,0.004133370074400662,Middel-Hoog
213,Drenthe,Coevorden,2015,J,Informatie en communicatie,70.0,0.0019289060347203086,Middel-Hoog
214,Drenthe,Coevorden,2015,K,Financiële dienstverlening,200.0,0.005511160099200882,Hoog
215,Drenthe,Coevorden,2015,L,Verhuur en handel van onroerend goed,40.0,0.0011022320198401765,Middel
216,Drenthe,Coevorden,2015,M,Specialistische zakelijke diensten,430.0,0.011848994213281895,Hoog
217,Drenthe,Coevorden,2015,N,Verhuur en overige zakelijke diensten,125.0,0.003444475062000551,Middel-Hoog
218,Drenthe,Coevorden,2015,R,"Cultuur, sport en recreatie",125.0,0.003444475062000551,Middel-Hoog
219,Drenthe,Coevorden,2015,S,Overige dienstverlening,195.0,0.00537338109672086,Hoog
220,Drenthe,Coevorden,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
221,Drenthe,Coevorden,2016,A,"Landbouw, bosbouw en visserij",425.0,0.011711215210801875,Hoog
222,Drenthe,Coevorden,2016,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
223,Drenthe,Coevorden,2016,C,Industrie,150.0,0.004133370074400662,Middel-Hoog
224,Drenthe,Coevorden,2016,D,Energievoorziening,5.0,0.00013777900248002206,Middel
225,Drenthe,Coevorden,2016,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
226,Drenthe,Coevorden,2016,F,Bouwnijverheid,265.0,0.007302287131441169,Hoog
227,Drenthe,Coevorden,2016,G,Handel,590.0,0.016257922292642602,Hoog
228,Drenthe,Coevorden,2016,H,Vervoer en opslag,65.0,0.0017911270322402866,Geen
229,Drenthe,Coevorden,2016,I,Horeca,155.0,0.004271149076880683,Middel-Hoog
230,Drenthe,Coevorden,2016,J,Informatie en communicatie,75.0,0.002066685037200331,Middel-Hoog
231,Drenthe,Coevorden,2016,K,Financiële dienstverlening,200.0,0.005511160099200882,Hoog
232,Drenthe,Coevorden,2016,L,Verhuur en handel van onroerend goed,40.0,0.0011022320198401765,Middel
233,Drenthe,Coevorden,2016,M,Specialistische zakelijke diensten,430.0,0.011848994213281895,Hoog
234,Drenthe,Coevorden,2016,N,Verhuur en overige zakelijke diensten,135.0,0.0037200330669605952,Middel-Hoog
235,Drenthe,Coevorden,2016,R,"Cultuur, sport en recreatie",125.0,0.003444475062000551,Middel-Hoog
236,Drenthe,Coevorden,2016,S,Overige dienstverlening,200.0,0.005511160099200882,Hoog
237,Drenthe,Coevorden,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
238,Drenthe,Coevorden,2017,A,"Landbouw, bosbouw en visserij",430.0,0.011848994213281895,Hoog
239,Drenthe,Coevorden,2017,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
240,Drenthe,Coevorden,2017,C,Industrie,155.0,0.004271149076880683,Middel-Hoog
241,Drenthe,Coevorden,2017,D,Energievoorziening,5.0,0.00013777900248002206,Middel
242,Drenthe,Coevorden,2017,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
243,Drenthe,Coevorden,2017,F,Bouwnijverheid,280.0,0.0077156241388812346,Hoog
244,Drenthe,Coevorden,2017,G,Handel,585.0,0.016120143290162578,Hoog
245,Drenthe,Coevorden,2017,H,Vervoer en opslag,60.0,0.0016533480297602646,Middel
246,Drenthe,Coevorden,2017,I,Horeca,160.0,0.004408928079360706,Middel-Hoog
247,Drenthe,Coevorden,2017,J,Informatie en communicatie,75.0,0.002066685037200331,Middel-Hoog
248,Drenthe,Coevorden,2017,K,Financiële dienstverlening,205.0,0.005648939101680904,Hoog
249,Drenthe,Coevorden,2017,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
250,Drenthe,Coevorden,2017,M,Specialistische zakelijke diensten,425.0,0.011711215210801875,Hoog
251,Drenthe,Coevorden,2017,N,Verhuur en overige zakelijke diensten,140.0,0.0038578120694406173,Middel-Hoog
252,Drenthe,Coevorden,2017,R,"Cultuur, sport en recreatie",135.0,0.0037200330669605952,Middel-Hoog
253,Drenthe,Coevorden,2017,S,Overige dienstverlening,225.0,0.006200055111600992,Hoog
254,Drenthe,Coevorden,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
255,Drenthe,Coevorden,2018,A,"Landbouw, bosbouw en visserij",440.0,0.01212455221824194,Hoog
256,Drenthe,Coevorden,2018,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
257,Drenthe,Coevorden,2018,C,Industrie,155.0,0.004271149076880683,Middel-Hoog
258,Drenthe,Coevorden,2018,D,Energievoorziening,5.0,0.00013777900248002206,Middel
259,Drenthe,Coevorden,2018,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
260,Drenthe,Coevorden,2018,F,Bouwnijverheid,295.0,0.008128961146321301,Hoog
261,Drenthe,Coevorden,2018,G,Handel,600.0,0.016533480297602647,Hoog
262,Drenthe,Coevorden,2018,H,Vervoer en opslag,65.0,0.0017911270322402866,Geen
263,Drenthe,Coevorden,2018,I,Horeca,160.0,0.004408928079360706,Middel-Hoog
264,Drenthe,Coevorden,2018,J,Informatie en communicatie,75.0,0.002066685037200331,Middel-Hoog
265,Drenthe,Coevorden,2018,K,Financiële dienstverlening,210.0,0.005786718104160926,Hoog
266,Drenthe,Coevorden,2018,L,Verhuur en handel van onroerend goed,40.0,0.0011022320198401765,Middel
267,Drenthe,Coevorden,2018,M,Specialistische zakelijke diensten,435.0,0.011986773215761918,Hoog
268,Drenthe,Coevorden,2018,N,Verhuur en overige zakelijke diensten,135.0,0.0037200330669605952,Middel-Hoog
269,Drenthe,Coevorden,2018,R,"Cultuur, sport en recreatie",135.0,0.0037200330669605952,Middel-Hoog
270,Drenthe,Coevorden,2018,S,Overige dienstverlening,230.0,0.006337834114081014,Hoog
271,Drenthe,Coevorden,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
