,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
11471,9 Misdrijven overige wetten,2014,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11472,9 Misdrijven overige wetten,2015,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11473,9 Misdrijven overige wetten,2016,Molenwaard,Zuid-Holland,10.0,2.0,9.837678307919332e-05,Laag
11474,9 Misdrijven overige wetten,2017,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11475,"Misdrijven, totaal",2013,Montferland,Gelderland,1280.0,100.0,0.012592228234136745,Hoog
11476,"Misdrijven, totaal",2014,Montferland,Gelderland,1200.0,100.0,0.011805213969503198,Hoog
11477,"Misdrijven, totaal",2015,Montferland,Gelderland,1165.0,100.0,0.011460895228726021,Hoog
11478,"Misdrijven, totaal",2016,Montferland,Gelderland,1300.0,100.0,0.01278898180029513,Hoog
11479,"Misdrijven, totaal",2017,Montferland,Gelderland,1005.0,100.0,0.009886866699458928,Hoog
11480,1 Vermogensmisdrijven,2013,Montferland,Gelderland,715.0,56.0,0.007033939990162322,Hoog
11481,1 Vermogensmisdrijven,2014,Montferland,Gelderland,750.0,63.0,0.0073782587309394985,Hoog
11482,1 Vermogensmisdrijven,2015,Montferland,Gelderland,670.0,58.0,0.006591244466305952,Hoog
11483,1 Vermogensmisdrijven,2016,Montferland,Gelderland,770.0,59.0,0.007575012297097885,Hoog
11484,1 Vermogensmisdrijven,2017,Montferland,Gelderland,570.0,57.0,0.005607476635514019,Hoog
11485,"2 Vernielingen, misdr.openb.orde/gezag",2013,Montferland,Gelderland,205.0,16.0,0.0020167240531234628,Midden
11486,"2 Vernielingen, misdr.openb.orde/gezag",2014,Montferland,Gelderland,155.0,13.0,0.0015248401377274965,Midden
11487,"2 Vernielingen, misdr.openb.orde/gezag",2015,Montferland,Gelderland,185.0,16.0,0.0018199704869650763,Midden
11488,"2 Vernielingen, misdr.openb.orde/gezag",2016,Montferland,Gelderland,205.0,16.0,0.0020167240531234628,Midden
11489,"2 Vernielingen, misdr.openb.orde/gezag",2017,Montferland,Gelderland,170.0,17.0,0.0016724053123462863,Midden
11490,3 Gewelds- en seksuele misdrijven,2013,Montferland,Gelderland,125.0,10.0,0.0012297097884899164,Midden
11491,3 Gewelds- en seksuele misdrijven,2014,Montferland,Gelderland,105.0,9.0,0.0010329562223315297,Midden
11492,3 Gewelds- en seksuele misdrijven,2015,Montferland,Gelderland,110.0,9.0,0.0010821446138711264,Midden
